"id","woonplaats","gemeente","provincie","latitude","longitude"
507,"Egmond aan Zee","Bergen","Noord-Holland",52.6187,4.6281065
509,"Egmond aan Den Hoef","Bergen","Noord-Holland",52.6209748,4.6531215
510,"Egmond-Binnen","Bergen","Noord-Holland",52.5938149,4.6560387
511,"Beverwijk","Beverwijk","Noord-Holland",52.4919759,4.6653166
520,"Wijk aan Zee","Beverwijk","Noord-Holland",52.4916911,4.593325
521,"Velsen-Noord","Velsen","Noord-Holland",52.4733264,4.6498059
523,"Heemskerk","Heemskerk","Noord-Holland",52.5069097,4.6701014
533,"IJmuiden","Velsen","Noord-Holland",52.4617618,4.5746247
540,"Velsen-Zuid","Velsen","Noord-Holland",52.4568392,4.6680944
542,"Driehuis","Velsen","Noord-Holland",52.4470055,4.6362986
543,"Velserbroek","Velsen","Noord-Holland",52.4319909,4.6459886
546,"Haarlem","Haarlem","Noord-Holland",52.3720069,4.6313075
569,"Zandvoort","Zandvoort","Noord-Holland",52.3785082,4.5340065
572,"Overveen","Bloemendaal","Noord-Holland",52.400023,4.5989705
574,"Bloemendaal","Bloemendaal","Noord-Holland",52.3966448,4.6126387
576,"Spaarndam-West","Haarlem","Noord-Holland",52.415,4.676944
577,"Spaarndam","Haarlemmermeer","Noord-Holland",52.4128782,4.6860272
578,"Haarlemmerliede","Haarlemmermeer","Noord-Holland",52.3885691,4.6895554
579,"Santpoort-Noord","Velsen","Noord-Holland",52.4314485,4.6445616
581,"Santpoort-Zuid","Velsen","Noord-Holland",52.4253297,4.6226263
583,"Heemstede","Heemstede","Noord-Holland",52.3463359,4.6197272
590,"Aerdenhout","Bloemendaal","Noord-Holland",52.3660029,4.5805322
592,"Vogelenzang","Bloemendaal","Noord-Holland",52.3196324,4.5780826
593,"Bentveld","Zandvoort","Noord-Holland",52.3658414,4.5753075
594,"Bennebroek","Bloemendaal","Noord-Holland",52.4518399,4.802687
596,"Hoofddorp","Haarlemmermeer","Noord-Holland",52.2866832,4.6652858
602,"Zwaanshoek","Haarlemmermeer","Noord-Holland",52.3128404,4.6175817
603,"Vijfhuizen","Haarlemmermeer","Noord-Holland",52.3560542,4.6726408
605,"Cruquius","Haarlemmermeer","Noord-Holland",52.3360142,4.6347871
606,"Boesingheliede","Haarlemmermeer","Noord-Holland",52.3610933,4.7255443
607,"Beinsdorp","Haarlemmermeer","Noord-Holland",52.2860513,4.5950793
608,"Nieuw Vennep","Haarlemmermeer","Noord-Holland",52.2866832,4.6652858
612,"Burgerveen","Haarlemmermeer","Noord-Holland",52.2404576,4.6805452
613,"Leimuiderbrug","Haarlemmermeer","Noord-Holland",52.2309985,4.6680189
614,"Weteringbrug","Haarlemmermeer","Noord-Holland",52.2220328,4.6461529
615,"Abbenes","Haarlemmermeer","Noord-Holland",52.2328358,4.5915174
616,"Buitenkaag","Haarlemmermeer","Noord-Holland",52.2208157,4.5596967
617,"Kaag","Kaag en Braassem","Zuid-Holland",52.2160589,4.5594046
618,"Lisse","Lisse","Zuid-Holland",52.2580113,4.5524081
622,"Lisserbroek","Haarlemmermeer","Noord-Holland",52.2605498,4.5709544
623,"Sassenheim","Teylingen","Zuid-Holland",51.9578101,5.8635141
626,"Hillegom","Hillegom","Zuid-Holland",52.2912973,4.5787866
629,"De Zilk","Noordwijk","Zuid-Holland",52.3025745,4.5356369
631,"Noordwijk","Noordwijk","Zuid-Holland",52.2340226,4.4489376
636,"Noordwijkerhout","Noordwijk","Zuid-Holland",52.2636557,4.4938581
638,"Voorhout","Teylingen","Zuid-Holland",52.2223012,4.4863318
639,"Katwijk","Katwijk","Zuid-Holland",52.2024122,4.3973005
645,"Rijnsburg","Katwijk","Zuid-Holland",52.2024122,4.3973005
647,"Valkenburg","Katwijk","Zuid-Holland",52.1793927,4.4327928
648,"Wassenaar","Wassenaar","Zuid-Holland",52.1181716,4.3704176
654,"Voorschoten","Voorschoten","Zuid-Holland",52.1243035,4.4461047
659,"Leidschendam","Leidschendam-Voorburg","Zuid-Holland",52.0767974,4.3976002
667,"Voorburg","Leidschendam-Voorburg","Zuid-Holland",52.0869388,4.3185376
673,"Rijswijk","Rijswijk","Zuid-Holland",52.05558,4.33495
683,"Wateringen","Westland","Zuid-Holland",52.0216313,4.2354561
686,"Kwintsheul","Westland","Zuid-Holland",52.0151806,4.2561308
687,"Leiden","Leiden","Zuid-Holland",52.1581881,4.4912006
707,"Oegstgeest","Oegstgeest","Zuid-Holland",52.1783182,4.462724
711,"Leiderdorp","Leiderdorp","Zuid-Holland",52.0851211,4.3936825
715,"Hoogmade","Kaag en Braassem","Zuid-Holland",52.1688532,4.5828795
716,"Warmond","Teylingen","Zuid-Holland",52.2071287,4.5149711
719,"Roelofarendsveen","Kaag en Braassem","Zuid-Holland",52.1831065,4.5910855
721,"Oud-Ade","Kaag en Braassem","Zuid-Holland",52.1916423,4.5664685
722,"Rijpwetering","Kaag en Braassem","Zuid-Holland",52.193109,4.5823688
723,"Nieuwe Wetering","Kaag en Braassem","Zuid-Holland",52.204891,4.6158037
724,"Oude Wetering","Kaag en Braassem","Zuid-Holland",52.214167,4.644444
725,"Zoeterwoude","Zoeterwoude","Zuid-Holland",52.1155235,4.4857634
728,"Hazerswoude Dorp","Alphen aan den Rijn","Zuid-Holland",52.0751101,4.5445181
